ASIN,SKU,SHOPIFY_SKU,PRODUCT COST,TITLE
B0FG2WK7B2,SI-2DVY-K41J,EW00093,16,"Earthwise Microclover Alternative Lawn Seed – Clover Lawn Seed, Low Maintenance, Drought Tolerant, Nitrogen Fixing, Organic, Pet Safe – Covers 1,000 sq ft Overseed, 500 sq ft Bare, 1 lb"
B0FWRN99W5,9O-XKKL-VAFP,EW00051,15,"Earthwise Northeast Native and Naturalized Wildflower Seed Mix – Season-Long Color, Pollinator Friendly, Organic, Low Maintenance, Chemical-Free, Pet Safe – Covers Up to 2,000 sq ft, 1 lb"
B0G3XC9PNQ,8U-VF1Y-XKUQ,EW00034,15,"Earthwise Hummingbird Haven Seed Mix – Attracts Hummingbirds, Nectar Rich Blooms, Pollinator Friendly, Organic, Chemical-Free, Drought Tolerant, Full Sun – Covers Up to 2,400 sq ft, 1 lb"
B0FPQQMMFP,CA-J5X7-JWQT,EW00074,15,"Earthwise Knee High Wildflower Meadow Blend Wildflower Seed Mix – Pollinator and Bee Friendly Flowers, Organic, Chemical-Free, Non-Invasive, Low Maintenance – Covers Up to 1,000 sq ft, 1 lb"
B0G3XG2MYY,9H-V9KQ-DRAD,EW00028,15,"Earthwise Pollinator Paradise Native Wildflower Seed Mix – Bee and Butterfly Friendly, Organic, Season-Long Blooms, Low Maintenance, Drought Tolerant, Pet Safe – Covers Up to 2,400 sq ft, 1 lb"
B0FGJDXXRW,LT-P94Z-WRSH,EW00044,15,"Earthwise Tri-Clover Alternative Lawn Seed Mix – White Dutch, Crimson, and Red Clover, Nitrogen Fixing, Organic, Low Maintenance, Pollinator Friendly – Covers Up to 10,000 sq ft, 5 lb"
B0FWRTKD7G,6K-ENM3-HXAW,EW00082,15,"Earthwise Midwest Native Wildflower Seed Mix – Low Maintenance, Organic, Season-Long Blooms, Drought Tolerant, Pollinator Friendly, Pet Safe, Chemical-Free – Covers Up to 1,000 sq ft, 1 lb"
B0FK598WGP,TA-O8BA-M9IL,EW00086,15,"Earthwise Shady Native Wildflower Seed Mix – Shade Tolerant, Pollinator Friendly, Low Maintenance, Organic, Chemical-Free, Pet Safe, Moisture Adaptable, Non-GMO – Covers Up to 750 sq ft, 1 lb"
B0FPQSFCGL,6L-WGUT-BYXD,EW00040,15,"Earthwise No Deer Here Wildflower Seed Mix – Deer-Resistant Seeds, Easy Grow, Colorful Blooms, Drought Tolerant, Pollinator Friendly, Pet Safe, Organic, Chemical-Free – Covers Up to 1,500 sq ft, 1 lb"
B0FK55KD81,3N-DMP2-5670,EW00023,18,"Earthwise TrueGrass Native Grass Seed Mix – Texoka Buffalograss, Blue Grama Grass, No Maintenance Lawn, Drought Tolerant, Organic, Pollinator Friendly, Pet Safe – Covers Up to 500 sq ft, 1 lb"
B0FHJ31TQP,YL-7A6X-SKHT,EW00067,13,"Earthwise Seed-Tac Premium Organic Tackifier – Erosion Control, Plant-Based Binder, Soil Restoration, Non-Toxic, Pet Safe – Covers Up to 5,000 sq ft, 10 lb"
B0FCSMFCFK,OU-BBER-OAHZ,EW00070,12,"Earthwise Low Grow No Mow Grass Seed – Clover and Fine Fescue Alternative Lawn Mix, Organic, Low Maintenance, Drought Tolerant, Pet Safe – Covers 5,000 sq ft Overseed, 2,000 sq ft Bare, 5 lb"
B0FWRRPHW7,L7-9J6G-18ZD,EW00107,12,"Earthwise GreenBoost Natural Lawn Food – Organic, Corn Gluten, Kelp Meal Blend, Quick-Release Nitrogen 9.6-0-0, Weed Suppression, Pet Safe, Non-Toxic – Covers Up to 1,000 sq ft, 10 lb"
B0FCSMFCFK,YZ-B8L4-75T8,EW00070,12,"Earthwise Low Grow No Mow Grass Seed – Clover and Fine Fescue Alternative Lawn Mix, Organic, Low Maintenance, Drought Tolerant, Pet Safe – Covers 5,000 sq ft Overseed, 2,000 sq ft Bare, 5 lb"
B0FCMH9Z9Q,BY-3DQ2-01GP,EW00018,11,"Earthwise Thyme for a Change Wild Creeping Thyme Seeds – Fragrant Groundcover, Alternative Lawn, Drought Tolerant, Pollinator Friendly, Organic – Covers Up to 250 sq ft, 1/2 oz, ~8,000 Seeds"
B0GV19QC3V,EART-DDPR-1OZ,EW00121,10,"Earthwise DandiPure Semente de dente-de-leão selvagem – semente de dente-de-leão, polinizador, planta comestível, gramado de baixa manutenção, orgânico, livre de produtos químicos – Cobre 150 pés"
B0FGCSRHXQ,SB-28XJ-N4IJ,EW00037,10,"Earthwise PetLawn Grass Seed Mix – Pet Safe, Organic, Tall Fescue and White Dutch Clover Blend, Durable Lawn, Drought Tolerant, Low Maintenance – Covers 5,000 sq ft Overseed, 2,000 sq ft Bare, 5 lb"
B0GV19QC3V,EART-DDPR-1OZ,EW00121,10,"Earthwise DandiPure Wild Dandelion Seed – Dandelion Seed, Pollinator Friendly, Edible Plant, Low Maintenance Lawn, Organic, Chemical-Free – Covers 150 sq ft, 1 oz"
B0GV19QC3V,EART-DDPR-1OZ,EW00121,10,"Earthwise DandiPure Wild Dandelion Seed – Dandelion Seed, Pollinator Friendly, Edible Plant, Low Maintenance Lawn, Organic, Chemical-Free – Covers 150 sq ft, 1 oz"
B0FK56VSMV,RP-M5M9-ZMRT,EW00039,8,"Earthwise No Deer Here Wildflower Seed Mix – Deer-Resistant Seeds, Easy Grow, Colorful Blooms, Drought Tolerant, Pollinator Friendly, Pet Safe, Organic, Chemical-Free – Covers Up to 750 sq ft, 1/2 lb"
B0FK57TWV6,U9-RK1E-4E3E,EW00085,7.5,"Earthwise Shady Native Wildflower Seed Mix – Shade Tolerant, Pollinator Friendly, Low Maintenance, Organic, Chemical-Free, Pet Safe, Moisture Adaptable, Non-GMO – Covers Up to 375 sq ft, 1/2 lb"
B0FWRSZYHF,9U-QAYS-09UA,EW00027,7.5,"Earthwise Pollinator Paradise Native Wildflower Seed Mix – Bee and Butterfly Friendly, Organic, Season-Long Blooms, Low Maintenance, Drought Tolerant, Pet Safe – Covers Up to 1,200 sq ft, 1/2 lb"
B0FPQRPQH6,SH-061W-7ZXW,EW00050,7.5,"Earthwise Northeast Native and Naturalized Wildflower Seed Mix – Season-Long Color, Pollinator Friendly, Organic, Low Maintenance, Chemical-Free, Pet Safe – Covers Up to 1,000 sq ft, 1/2 lb"
B0FPQN9TB5,QQ-W2AA-6H8M,EW00081,7.5,"Earthwise Midwest Native Wildflower Seed Mix – Low Maintenance, Organic, Season-Long Blooms, Drought Tolerant, Pollinator Friendly, Pet Safe, Chemical-Free – Covers Up to 500 sq ft, 1/2 lb"
B0GV1DNK5L,EART-LSNW-1LB,EW00110,30,"Earthwise Lone Star Native Wildflower Seed Mix – Texas Native Prairie Grasses, Pollinator Friendly, Drought Resilient, Soil Health Booster, Organic, Chemical-Free – Covers Up to 2,000 sq ft, 1 lb"
B0FK54CTQJ,WJ-LJTL-4AOK,EW00099,6,"Earthwise EcoSeed Grass Seed – No Mow, Low Maintenance Lawn Seed Mix, Fine Fescue Blend, Drought Tolerant, Shade Tolerant, Organic, Chemical-Free – Covers Up to 1,000 sq ft, 5 lb"
B0GV1BWF6R,EART-DDLN-050LB,EW00116,5.5,"Earthwise DandiLawn No Mow Dandelion Lawn Seed Mix – Fine Fescue Blend, Low Growing, Pollinator Friendly, Organic, Chemical-Free, Shade Tolerant, Pet Safe – Covers 250 sq ft, 1/2 lb"
B0FCSHSBKQ,JH-PX3D-GW5Z,EW00046,5,"Earthwise Ultimate Clover Lawn Seed Mix – Alternative Lawn, MicroClover, Low Maintenance, Organic, Nitrogen Fixing, Drought Tolerant, Pet Safe, Chemical-Free – Covers Up to 500 sq ft, 1 lb"
B0FCSHSBKQ,CG-K54A-1K12,EW00046,5,"Earthwise Ultimate Clover Lawn Seed Mix – Alternative Lawn, MicroClover, Low Maintenance, Organic, Nitrogen Fixing, Drought Tolerant, Pet Safe, Chemical-Free – Covers Up to 500 sq ft, 1 lb"
B0FWRMZHDX,VB-6K2M-18P9,EW00015,8,"Earthwise Southwest Native Meadowscaping Alternative Lawn Seed Mix – Drought Tolerant, Low Maintenance, Pollinator Friendly, Organic, Native Wildflowers, Pet Safe – Covers Up to 1,000 sq ft, 1 lb"
B0FG36PFNQ,EART-MDWP-16LB,EW00089,4.5,"Earthwise Meadowscaping Alternative Lawn Seed Mix – No Mow, Fine Fescue and Wildflower Blend, Drought Tolerant, Low Maintenance, Organic, Pollinator Friendly, Pet Safe – Covers Up to 1,000 sq ft, 1 lb"
B0FGJF85CW,OQ-EU42-AQXE,EW00072,3.75,"Earthwise Knee High Wildflower Meadow Blend Wildflower Seed Mix – Pollinator and Bee Friendly Flowers, Organic, Chemical-Free, Non-Invasive, Low Maintenance – Covers Up to 250 sq ft, 1/4 lb"
B0FGJ9HPBF,Y7-66MW-HXVL,EW00049,3.75,"Earthwise Northeast Native and Naturalized Wildflower Seed Mix – Season-Long Color, Pollinator Friendly, Organic, Low Maintenance, Chemical-Free, Pet Safe – Covers Up to 500 sq ft, 1/4 lb"
B0FGCW5RSX,82-I8Y5-M4VF,EW00084,3.75,"Earthwise Shady Native Wildflower Seed Mix – Shade Tolerant, Pollinator Friendly, Low Maintenance, Organic, Chemical-Free, Pet Safe, Moisture Adaptable, Non-GMO – Covers Up to 175 sq ft, 1/4 lb"
B0FGJH1TF8,96-E1C0-4H8V,EW00080,3.75,"Earthwise Midwest Native Wildflower Seed Mix – Low Maintenance, Organic, Season-Long Blooms, Drought Tolerant, Pollinator Friendly, Pet Safe, Chemical-Free – Covers Up to 250 sq ft, 1/4 lb"
B0FGJ6WSJP,32-1YK1-BUCD,EW00077,3.5,"Earthwise White Dutch Clover Alternative Lawn Seed – Clover Seed, Low Maintenance, Nitrogen Fixing, Organic, Drought Tolerant, Pollinator Friendly, Pet Safe – Covers Up to 2,000 sq ft, 1 lb"
B0FG34MTCY,S5-I1AT-7HP2,EW00043,3,"Earthwise Tri-Clover Alternative Lawn Seed Mix – White Dutch, Crimson, and Red Clover, Nitrogen Fixing, Organic, Low Maintenance, Pollinator Friendly – Covers Up to 2,000 sq ft, 1 lb"
B0FK55CH47,HT-Q987-S09J,EW00061,1,"Earthwise Crimson Clover Seed (Trifolium incarnatum) - Nitrogen-Fixing Cover Crop, Organic, Pollinator Friendly, Chemical-Free, Drought Tolerant, Low Maintenance – Covers Up to 1,000 sq ft, 1 lb"
B0FWRN8J4P,X5-ODW1-D6EB,EW00054,3,"Earthwise Southeast Native Meadowscaping Seed Mix – Pollinator Friendly, Organic, Supports Wildlife, Multi-Season Color, Low Maintenance, Chemical-Free, Pet Safe – Covers Up to 1,000 sq ft, 1/2 lb"
B0FPQW2Q9X,H1-C3SR-83O5,EW00014,4,"Earthwise Southwest Native Meadowscaping Alternative Lawn Seed Mix – Drought Tolerant, Low Maintenance, Pollinator Friendly, Organic, Native Wildflowers, Pet Safe – Covers Up to 500 sq ft, 1/2 lb"
B0FGJ6YXC8,GJ-HO8H-ENA4,EW00045,2.5,"Earthwise Ultimate Clover Lawn Seed Mix – Alternative Lawn, MicroClover, Low Maintenance, Organic, Nitrogen Fixing, Drought Tolerant, Pet Safe, Chemical-Free – Covers Up to 250 sq ft, 1/2 lb"
B0FG36RV8W,EART-MDWP-08LB,EW00088,2.25,"Earthwise Meadowscaping Alternative Lawn Seed Mix – No Mow, Fine Fescue and Wildflower Blend, Drought Tolerant, Low Maintenance, Organic, Pollinator Friendly, Pet Safe – Covers Up to 500 sq ft, 1/2 lb"
B0FCSPZGNM,BE-GNQM-9F8Y,EW00069,2.25,"Earthwise Low Grow No Mow Grass Seed – Clover and Fine Fescue Alternative Lawn Mix, Organic, Low Maintenance, Drought Tolerant, Pet Safe – Covers 1,000 sq ft Overseed, 400 sq ft Bare, 1 lb"
B0FCSPZGNM,EN-ZLSV-VX21,EW00069,2.25,"Earthwise Low Grow No Mow Grass Seed – Clover and Fine Fescue Alternative Lawn Mix, Organic, Low Maintenance, Drought Tolerant, Pet Safe – Covers 1,000 sq ft Overseed, 400 sq ft Bare, 1 lb"
B0FGJFDSG4,T3-HF7H-KX5X,EW00076,2,"Earthwise White Dutch Clover Alternative Lawn Seed – Clover Seed, Low Maintenance, Nitrogen Fixing, Organic, Drought Tolerant, Pollinator Friendly, Pet Safe – Covers Up to 1,000 sq ft, 1/2 lb"
B0FGCJR2XS,BG-8TXS-SD4S,EW00036,2,"Earthwise PetLawn Grass Seed Mix – Pet Safe, Organic, Tall Fescue and White Dutch Clover Blend, Durable Lawn, Drought Tolerant, Low Maintenance – Covers 1,000 sq ft Overseed, 400 sq ft Bare, 1 lb"
B0FGJFDSG4,BI-TU27-KBRG,EW00076,2,"Earthwise White Dutch Clover Alternative Lawn Seed – Clover Seed, Low Maintenance, Nitrogen Fixing, Organic, Drought Tolerant, Pollinator Friendly, Pet Safe – Covers Up to 1,000 sq ft, 1/2 lb"
B0FGCJR2XS,JF-8NA5-00CO,EW00036,2,"Earthwise PetLawn Grass Seed Mix – Pet Safe, Organic, Tall Fescue and White Dutch Clover Blend, Durable Lawn, Drought Tolerant, Low Maintenance – Covers 1,000 sq ft Overseed, 400 sq ft Bare, 1 lb"
B0FWRNKR7H,WU-2WR7-TN7J,EW00106,2,"Earthwise GreenBoost Natural Lawn Food – Organic, Corn Gluten, Kelp Meal Blend, Quick-Release Nitrogen 9.6-0-0, Weed Suppression, Pet Safe, Non-Toxic – Covers Up to 100 sq ft, 1 lb"
B0FGCYVRXY,T8-3N54-E0EY,EW00098,1.5,"Earthwise EcoSeed Grass Seed – No Mow, Low Maintenance Lawn Seed Mix, Fine Fescue Blend, Drought Tolerant, Shade Tolerant, Organic, Chemical-Free – Covers Up to 200 sq ft, 1 lb"
B0FC8QGL9M,RI-CJQF-51AX,EW00042,1.5,"Earthwise Tri-Clover Alternative Lawn Seed Mix – White Dutch, Crimson, and Red Clover, Nitrogen Fixing, Organic, Low Maintenance, Pollinator Friendly – Covers Up to 1,000 sq ft, 1/2 lb"
B0GV1BJSSB,EART-CRSW-025LB,EW00105,5.5,"Earthwise Creeping Smartweed Seed – Native Groundcover Seed, Low Growing 4 to 6 in, Pink Blooms, Pollinator Friendly, Water Efficient, Pet Safe, Organic, Chemical-Free – Covers Up to 600 sq ft, 1/4 lb"
B0FCPMLQCD,1G-GLEV-39WF,EW00066,1.3,"Earthwise Seed-Tac Premium Organic Tackifier – Erosion Control, Plant-Based Binder, Soil Restoration, Non-Toxic, Pet Safe – Covers Up to 500 sq ft, 1 lb"
B0FCPMLQCD,6W-STGZ-XS3U,EW00066,1.3,"Earthwise Seed-Tac Premium Organic Tackifier – Erosion Control, Plant-Based Binder, Soil Restoration, Non-Toxic, Pet Safe – Covers Up to 500 sq ft, 1 lb"
B0FCMHX151,DF-RCQS-CFW4,EW00068,1.25,"Earthwise Low Grow No Mow Grass Seed – Clover and Fine Fescue Alternative Lawn Mix, Organic, Low Maintenance, Drought Tolerant, Pet Safe – Covers 500 sq ft Overseed, 200 sq ft Bare, 1/2 lb"
B0FCMHX151,J4-MQDY-P96U,EW00068,1.25,"Earthwise Low Grow No Mow Grass Seed – Clover and Fine Fescue Alternative Lawn Mix, Organic, Low Maintenance, Drought Tolerant, Pet Safe – Covers 500 sq ft Overseed, 200 sq ft Bare, 1/2 lb"
B0FG3DZX4Y,ZU-AUZZ-9QMS,EW00026,1,"Earthwise Pollinator Paradise Native Wildflower Seed Mix – Bee and Butterfly Friendly, Organic, Season-Long Blooms, Low Maintenance, Drought Tolerant, Pet Safe – Covers Up to 150 sq ft, 1 oz"
B0GV1DL1KT,EART-RDVL-1LB,EW00061,3,"Earthwise Red Velvet Alternative Lawn Seed – Red Carpet Clover Seed, Low Growing Lawn Cover, Pollinator Friendly, Drought Tolerant, Organic, Chemical-Free – Covers Up to 1,000 sq ft, 1 lb"
B0GV1DL1KT,EART-RDVL-1LB,EW00061,3,"Earthwise Red Velvet Alternative Lawn Seed – Red Carpet Clover Seed, Low Growing Lawn Cover, Pollinator Friendly, Drought Tolerant, Organic, Chemical-Free – Covers Up to 1,000 sq ft, 1 lb"
B0GV1DL1KT,EART-RDVL-1LB,EW00060,1,"Semente alternativa de gramado Earthwise Red Velvet – Semente de trevo de tapete vermelho, cobertura de gramado de baixo crescimento, compatível com polinizadores, tolerante à seca, orgânica, sem"
B0FGCTJM3S,08-84ZN-PUTB,EW00032,1,"Earthwise Hummingbird Haven Seed Mix – Attracts Hummingbirds, Nectar Rich Blooms, Pollinator Friendly, Organic, Chemical-Free, Drought Tolerant, Full Sun – Covers Up to 150 sq ft, 1 oz"
B0FGJBWB22,D6-MK0T-XPIT,EW00020,1,"Earthwise Monarch Meadow Native Wildflower Seed Mix – Monarch Magnet, Pollinator Friendly, Colorful Blooms, Drought Tolerant, Organic, Chemical-Free, Pet Safe – Covers Up to 150 sq ft, 1 oz"
B0FCSL1K4D,AI-D0VX-9PCI,EW00035,1,"Earthwise PetLawn Grass Seed Mix – Pet Safe, Organic, Tall Fescue and White Dutch Clover Blend, Durable Lawn, Drought Tolerant, Low Maintenance – Covers 500 sq ft Overseed, 200 sq ft Bare, 1/2 lb"
B0FK58KWW4,FK-8V91-183A,EW00060,1,"Earthwise Crimson Clover Seed (Trifolium incarnatum) - Nitrogen-Fixing Cover Crop, Organic, Pollinator Friendly, Chemical-Free, Drought Tolerant, Low Maintenance – Covers Up to 500 sq ft, 1/2 lb"
B0FCSL1K4D,H4-5NO4-L0G7,EW00035,1,"Earthwise PetLawn Grass Seed Mix – Pet Safe, Organic, Tall Fescue and White Dutch Clover Blend, Durable Lawn, Drought Tolerant, Low Maintenance – Covers 500 sq ft Overseed, 200 sq ft Bare, 1/2 lb"
